検索キー,医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所
堀医院代沢３－１６－８,堀医院,東京都世田谷区代沢３－１６－８,155-0032,03-3421-2117,,,1,,1,,世田谷区,13112,代沢,３－１６－８,,,,1,1,,,,,12:30~13:00,,,,12:30~13:00,,,,12:30~13:00,,,,,日本語のみ,,代沢３－１６－８
北野台内科クリニック北野台1-17-17,北野台内科クリニック,東京都八王子市北野台1-17-17,192-0913,042-683-3236,,1,1,1,,,八王子市,13201,北野台,1-17-17,,1,,1,1,1,1,,12:00~13:00,17:30~18:30,12:00~13:00,17:30~18:30,,,12:00~13:00,17:30~18:30,12:00~13:00,17:30~18:30,12:00~13:00,17:00~17:30,,,,,北野台1-17-17
"キラリこどもクリニック太子堂3-1-24ディアコート三軒茶屋101",キラリこどもクリニック,"東京都世田谷区太子堂3-1-24ディアコート三軒茶屋101",154-0004,03-3418-1010,,1,1,1,1,1,世田谷区,13112,太子堂,"3-1-24ディアコート三軒茶屋101",,1,,1,1,,1,,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~11:00,,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,12:00~14:00,,,英語,,"太子堂3-1-24ディアコート三軒茶屋101"
順天堂大学医学部附属順天堂医院本郷3丁目1番3号,順天堂大学医学部附属順天堂医院,東京都文京区本郷3丁目1番3号,113-8431,03-3813-3111,,1,1,1,1,1,文京区,13105,本郷,3丁目1番3号,,1,,1,1,,1,,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,,,本郷3丁目1番3号
医療法人社団 英寿会 深沢クリニック弦巻2-39-3,医療法人社団 英寿会 深沢クリニック,東京都世田谷区弦巻2-39-3,154-0016,03-3426-8253,,1,1,,1,1,世田谷区,13112,弦巻,2-39-3,,1,,1,1,,1,,10:00~12:00,14:00~18:00,10:00~12:00,14:00~18:00,10:00~12:00,,10:00~12:00,14:00~18:00,10:00~12:00,14:00~18:00,10:00~12:00,14:00~15:00,,,,,弦巻2-39-3
医療法人社団 白圭会 ほしの内科クリニック東堀切 3-19-8,医療法人社団 白圭会 ほしの内科クリニック,東京都葛飾区東堀切 ,124-0004,03-5629-9855,,1,1,1,1,1,葛飾区,13122,東堀切 ,,3-19-8,1,,1,1,,,,11:00~12:00,17:00~18:30,11:00~12:00,17:00~18:30,11:00~12:00,17:00~18:30,11:00~12:00,12:00~12:00,11:00~12:00,17:00~18:30,11:00~12:00,12:00~14:00,,,対応できない。,,東堀切 3-19-8
医療法人社団 祐仁会 あだち医院本町3-11-15,医療法人社団 祐仁会 あだち医院,東京都東久留米市本町3-11-15,203-0053,042-420-5661,,,1,,,,東久留米市,13222,本町,3-11-15,,1,,1,,1,1,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,,,12:00~13:00,17:00~18:00,12:00~13:00,16:00~17:00,,,,,本町3-11-15
竹芝水辺のクリニック海岸1-10-30 アトレ竹芝タワー棟3F,竹芝水辺のクリニック,東京都港区海岸1-10-30 ,105-0022,03-3432-3232,,1,1,1,,,港区,13103,海岸,1-10-30 ,アトレ竹芝タワー棟3F,1,,1,1,,1,,10:00~13:30,15:30~18:00,10:00~13:30,15:30~18:00,10:00~13:30,15:30~18:00,10:00~13:30,15:30~18:00,10:00~13:30,15:30~18:00,10:00~14:00,,,,英語,,海岸1-10-30 アトレ竹芝タワー棟3F
社会医療法人財団仁医会 牧田総合病院西蒲田 8-20-1,社会医療法人財団仁医会 牧田総合病院,東京都大田区西蒲田 ,144-8501,03-6428-7500 ,,1,1,,,,大田区,13111,西蒲田 ,,8-20-1,1,1,1,1,,,,9:00~11:00,14:00~16:00,9:00~11:00,14:00~16:00,9:00~11:00,14:00~16:00,9:00~11:00,14:00~16:00,9:00~11:00,14:00~16:00,,,,,,,西蒲田 8-20-1
医療法人社団 浩央会 東小金井さくらクリニック東町4-37-26,医療法人社団 浩央会 東小金井さくらクリニック,東京都小金井市東町4-37-26,184-0011,042-382-3888,,1,1,1,,,小金井市,13210,東町,4-37-26,,1,,1,1,1,1,,,14:30~15:30,,,,,,14:30~15:30,,,,,,,,,東町4-37-26
医療法人社団 大塚診療所湯島三丁目31番6号1階,医療法人社団 大塚診療所,東京都文京区湯島三丁目31番6号1階,113-0034,03-3831-2294,,1,1,,1,1,文京区,13105,湯島三丁目,31番6号1階,,,,1,1,,,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,日本語、英語,,湯島三丁目31番6号1階
綾瀬おかだクリニック綾瀬4-30-15,綾瀬おかだクリニック,東京都足立区綾瀬4-30-15,120-0005,03-5856-2324,,1,1,,,,足立区,13121,綾瀬,4-30-15,,1,,,,,1,,9:00~12:00,15:00~19:00,9:00~12:00,15:00~19:00,9:00~12:00,15:00~19:00,9:00~12:00,15:00~19:00,9:00~12:00,15:00~19:00,9:00~12:00,,,,英語,,綾瀬4-30-15
金町成人病クリニック東金町2－13－４,金町成人病クリニック,東京都葛飾区東金町2－13－４,125-0041,03-3826-6171,,1,1,1,,,葛飾区,13122,東金町,2－13－４,,1,,1,1,,1,,11:30~12:30,,11:30~12:30,16:00~17:00,,,11:30~12:30,16:00~17:00,11:30~12:30,16:00~17:00,11:30~12:30,,,,,,東金町2－13－４
医療法人社団智成会 東金町内科クリニック東金町７－５－８ ロイヤルクレセント１階,医療法人社団智成会 東金町内科クリニック,東京都葛飾区東金町７－５－８ ,125-0041,03-5648-5715,,1,1,1,1,1,葛飾区,13122,東金町,７－５－８ ,ロイヤルクレセント１階,1,,1,1,,1,,9:00~13:00,15:00~19:00,9:00~13:00,,,,9:00~13:00,15:00~19:00,9:00~13:00,15:00~19:00,9:00~13:00,15:00~19:00,9:00~13:00,,英語,1,東金町７－５－８ ロイヤルクレセント１階
医療法人社団 松田内科医院東向島６-62-10-1Ｆ,医療法人社団 松田内科医院,東京都墨田区東向島６-62-10-1Ｆ,131-0032,03-3611-1663,,1,1,1,,,墨田区,13107,東向島,６-62-10-1Ｆ,,1,,1,1,1,1,,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,,,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,,,,なし,,東向島６-62-10-1Ｆ
アイビークリニック虎ノ門虎ノ門1-8-8,アイビークリニック虎ノ門,東京都港区虎ノ門1-8-8,105-0001,03-5501-1511,,1,1,1,,,港区,13103,虎ノ門,1-8-8,,1,,1,,1,1,,10:00~13:00,15:00~17:30,10:00~13:00,15:00~17:30,10:00~13:00,15:00~17:30,10:00~13:00,15:00~17:30,10:00~13:00,15:00~17:30,,,,,,,虎ノ門1-8-8
東京西部保健生活協同組合 上井草診療所今川3-30-10,東京西部保健生活協同組合 上井草診療所,東京都杉並区今川3-30-10,167-0035,03-3395-2400,,1,1,,,,杉並区,13115,今川,3-30-10,,1,,1,1,,1,,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,,,,,,今川3-30-10
吾嬬医院立花5-26-8,吾嬬医院,東京都墨田区立花5-26-8,131-0043,web予約,https://azuma-iin.com,1,1,,1,1,墨田区,13107,立花,5-26-8,,1,,,1,,1,,9:30~11:30,16:30~18:30,9:30~11:30,16:30~18:30,9:30~11:30,16:30~18:30,9:30~11:30,16:30~18:30,9:30~11:30,16:30~18:30,9:30~11:30,,,,,,立花5-26-8
医療法人社団貴翆会 平井医院雑司ヶ谷1-26-10,医療法人社団貴翆会 平井医院,東京都豊島区雑司ヶ谷1-26-10,171-0032,03-3971-8064,,1,1,1,1,,豊島区,13116,雑司ヶ谷,1-26-10,,1,,1,1,1,1,,11:00~12:00,18:00~19:00,11:00~12:00,18:00~19:00,11:00~12:00,18:00~19:00,,,11:00~12:00,18:00~19:00,11:00~12:00,,,,,,雑司ヶ谷1-26-10
岡村耳鼻咽喉科医院北砂2-13-12,岡村耳鼻咽喉科医院,東京都江東区北砂2-13-12,136-0073,03-3644-6905,,1,1,1,1,,江東区,13108,北砂,2-13-12,,1,,1,1,1,1,,9:00~11:15,15:30~17:45,9:00~11:15,15:30~17:45,9:00~11:15,15:30~17:45,,,9:00~11:15,15:30~17:45,9:00~11:00,,,,,,北砂2-13-12
小川クリニック南雪谷2-15-2好屋田中ビル3F,小川クリニック,東京都大田区南雪谷2-15-2好屋田中ビル3F,145-0066,03-5754-0212,,,1,,,,大田区,13111,南雪谷,2-15-2好屋田中ビル3F,,,,1,,1,,,,,,,,,,,,,,,,,,,南雪谷2-15-2好屋田中ビル3F
金城医院 内科・小児科西大井4-2-5,金城医院 内科・小児科,東京都品川区西大井4-2-5,140-0015,03-3772-1660,,1,1,1,1,1,品川区,13109,西大井,4-2-5,,1,,,1,1,1,,8:45~12:15,16:45~18:15,8:45~12:15,16:45~18:30,8:45~12:15,16:45~18:30,,,8:45~12:15,16:45~18:30,8:45~12:15,,,,英語,,西大井4-2-5
河合内科クリニック上荻 3-1-11,河合内科クリニック,東京都杉並区上荻 ,167-0043,03-3399-8563,,1,1,1,,,杉並区,13115,上荻 ,,3-1-11,1,,1,1,1,1,,,13:00~15:00,,13:00~15:00,,13:00~15:00,,13:00~14:30,,13:00~15:00,,13:00~15:00,,,,,上荻 3-1-11
せき・ぜんそくクリニック十条十条仲原1-28-13-101,せき・ぜんそくクリニック十条,東京都北区十条仲原1-28-13-101,114-0031,050-5211-7472,,1,1,1,1,1,北区,13117,十条仲原,1-28-13-101,,1,,1,1,1,,,9:00~12:00,,9:00~12:00,,,,9:00~12:00,,9:00~12:00,,9:00~12:00,,,,,,十条仲原1-28-13-101
小松内科クリニック奥沢5-25-11Cherry Colonnade3F,小松内科クリニック,東京都世田谷区奥沢5-25-11Cherry ,158-0083,03-3717-7772,,1,1,1,,,世田谷区,13112,奥沢,5-25-11Cherry ,Colonnade3F,1,,1,1,1,1,,11:00~12:30,14:30~16:00,11:00~12:30,14:30~16:00,,,11:00~12:30,14:30~16:00,,,,,,,,,奥沢5-25-11Cherry Colonnade3F
"廣橋小児科、内科医院元町1-5-3","廣橋小児科、内科医院",東京都清瀬市元町1-5-3,204-0021,042-493-7400,,1,1,1,1,1,清瀬市,13221,元町,1-5-3,,1,,,1,1,,,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,,,,,元町1-5-3
休日夜間急患診療所小島町3-68-10,休日夜間急患診療所,東京都調布市小島町3-68-10,182-0026,042-484-1455,,,1,,,,調布市,13208,小島町,3-68-10,,,,,,,,,,,,,,,,,,,,19:00~22:00,,19:00~22:00,,1,小島町3-68-10
医療法人社団慈誠会 東武練馬中央病院徳丸3丁目19番1号,医療法人社団慈誠会 東武練馬中央病院,東京都板橋区徳丸3丁目19番1号,175-0083,03-3934-1611,,,1,,,,板橋区,13119,徳丸,3丁目19番1号,,1,,1,1,,1,,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,10:00~12:00,,,,,,徳丸3丁目19番1号
まこと小児神経クリニック西新宿4-7-1 SIT西新宿ビル1F,まこと小児神経クリニック,東京都新宿区西新宿4-7-1 ,160-0023,03-6300-9528,,,1,,1,,新宿区,13104,西新宿,4-7-1 ,SIT西新宿ビル1F,1,,1,1,1,,,11:00~12:00,,11:00~12:00,,,,11:00~12:00,,11:00~12:00,,,,,,,,西新宿4-7-1 SIT西新宿ビル1F
赤坂一ツ木通りクリニック赤坂3-15-9 ACRビル3F,赤坂一ツ木通りクリニック,東京都港区赤坂3-15-9 ,107-0052,03-5544-8205,,1,1,,,,港区,13103,赤坂,3-15-9 ,ACRビル3F,,,,,,,,8:30~11:30,13:30~16:30,8:30~11:30,13:30~16:30,8:30~11:30,13:30~16:30,8:30~11:30,13:30~16:30,8:30~11:30,13:30~16:30,,,,,英語,,赤坂3-15-9 ACRビル3F
大崎消化器内科クリニック北品川5-4-1 大崎ブライトプラザ2階,大崎消化器内科クリニック,東京都品川区北品川5-4-1 ,141-0001,03-5791-3388,,1,1,1,,,品川区,13109,北品川,5-4-1 ,大崎ブライトプラザ2階,1,,1,1,1,1,,12:00~13:00,15:00~16:00,,,12:00~13:00,15:00~16:00,12:00~13:00,15:00~16:00,12:00~13:00,15:00~16:00,,,,,日本語,,北品川5-4-1 大崎ブライトプラザ2階
公益財団法人　井之頭病院上連雀4-14-1,公益財団法人　井之頭病院,東京都三鷹市上連雀4-14-1,181-8531,0422-44-5331,,,1,,,,三鷹市,13204,上連雀,4-14-1,,,,,,,,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,,,,,,,上連雀4-14-1
白金台診療所白金台5-18-6,白金台診療所,東京都港区白金台5-18-6,108-0071,03-3473-4741,,,1,1,1,1,港区,13103,白金台,5-18-6,,1,,1,1,1,1,,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,,,,,,白金台5-18-6
"医療法人永優会鈴木内科胃腸クリニック千住緑町2-10-5","医療法人永優会鈴木内科胃腸クリニック",東京都足立区千住緑町2-10-5,120-0044,03-3881-0857,,,1,1,,,足立区,13121,千住緑町,2-10-5,,1,,1,,,1,,9:00~12:00,15:00~17:00,9:00~12:00,15:00~17:00,9:00~12:00,15:00~17:00,9:00~12:00,15:00~17:00,,,9:00~11:00,,,,,,千住緑町2-10-5
原内科医院台町2-22-7-102,原内科医院,東京都八王子市台町2-22-7-102,193-0931,042-625-7133,,,1,,,,八王子市,13201,台町,2-22-7-102,,,,,,,,,,16:00~17:00,,16:00~17:00,,16:00~17:00,,,,16:00~17:00,,12:00~13:00,,,,,台町2-22-7-102
医療法人社団孝徳会　孝仁クリニック東大井5-14-11-1F,医療法人社団孝徳会　孝仁クリニック,東京都品川区東大井5-14-11-1F,140-0011,03-3474-5566,,,1,,,,品川区,13109,東大井,5-14-11-1F,,,,1,1,,,,,16:00~16:30,,16:00~16:30,,,,16:00~16:30,,,,,,,,,東大井5-14-11-1F
安田医院荻窪 5-11-19,安田医院,東京都杉並区荻窪 ,167-0051,0333915871,,,1,,1,,杉並区,13115,荻窪 ,,5-11-19,1,,1,1,,1,,11:45~12:15,15:30~16:00,11:45~12:15,15:30~16:00,11:45~12:15,15:30~16:00,11:45~12:15,15:30~16:00,11:45~12:15,15:30~16:00,11:45~12:45,,,,日本語のみ,,荻窪 5-11-19
医療法人社団 潤生会 石原内科クリニック白金台4-2-11 白金台クレスト3階,医療法人社団 潤生会 石原内科クリニック,東京都港区白金台4-2-11 ,108-0071,03-5423-5560,,,1,,,,港区,13103,白金台,4-2-11 ,白金台クレスト3階,,,,,,,,,,,,,,,,12:00~13:00,,,,,,,,白金台4-2-11 白金台クレスト3階
せきぐちクリニック船橋1-16-1,せきぐちクリニック,東京都世田谷区船橋1-16-1,156-0055,03-3429-4181,,1,1,,1,,世田谷区,13112,船橋,1-16-1,,1,,1,1,1,,,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,,,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,9:00~11:00,,,,,,船橋1-16-1
慈雲堂病院関町南四丁目14番53号,慈雲堂病院,東京都練馬区関町南四丁目14番53号,177-0053,03-3928-6511,,1,1,,,,練馬区,13120,関町南四丁目,14番53号,,1,,1,1,1,1,,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,,,,,,関町南四丁目14番53号
医療法人社団光眞会 工藤ハートフル・クリニック深大寺北町6-38-6ブルージュ1F,医療法人社団光眞会 工藤ハートフル・クリニック,東京都調布市深大寺北町6-38-6ブルージュ1F,182-0011,042-483-0125,,1,1,1,1,1,調布市,13208,深大寺北町,6-38-6ブルージュ1F,,1,,1,1,,1,,11:00~12:00,15:00~16:00,11:00~12:00,15:00~16:00,11:00~12:00,15:00~16:00,11:00~12:00,,11:00~12:00,15:00~16:00,11:00~12:00,15:00~16:00,,,英語、中国語、スペイン語,,深大寺北町6-38-6ブルージュ1F
医療法人社団楽育会小池小児科医院若宮3-2-10,医療法人社団楽育会小池小児科医院,東京都中野区若宮3-2-10,165-0033,03-3330-0743,,1,1,1,1,1,中野区,13114,若宮,3-2-10,,1,,,1,,,,9:00~12:00,15:00~17:00,9:00~12:00,15:00~17:00,9:00~12:00,15:00~17:00,9:00~12:00,15:00~17:00,9:00~12:00,15:00~17:00,8:30~10:30,15:00~17:00,9:00~12:00,15:00~17:00,,1,若宮3-2-10
南麻布医院南麻布1-12-１,南麻布医院,東京都港区南麻布1-12-１,106-0047,03-3452-3211,,,1,,,,港区,13103,南麻布,1-12-１,,1,,,,,1,,,13:00~14:00,,13:00~14:00,,13:00~14:00,,,,13:00~14:00,,,,,韓国語,,南麻布1-12-１
"六町駅クリニック六町4-2-27六町佐藤ビル2階　六町駅クリニック",六町駅クリニック,"東京都足立区六町4-2-27六町佐藤ビル2階　六",121-0073,0338838069,,1,1,1,1,1,足立区,13121,六町,"4-2-27六町佐藤ビル2階　六",町駅クリニック,1,1,1,1,1,1,,12:30~13:15,18:15~19:00,12:30~13:15,18:15~19:00,12:30~13:15,18:15~19:00,12:30~13:15,18:15~19:00,12:30~13:15,18:15~19:00,11:30~12:15,14:30~15:00,,,"英語仏伊（日常会話程度）",,"六町4-2-27六町佐藤ビル2階　六町駅クリニック"
喜多見こどもクリニック喜多見８－１９－１５ 森田ビル2階,喜多見こどもクリニック,東京都世田谷区喜多見８－１９－１５ ,157-0067,03-5727-1033,,,1,,2,,世田谷区,13112,喜多見,８－１９－１５ ,森田ビル2階,1,,1,1,,,,9:00~10:00,15:00~16:00,9:00~10:00,15:00~16:00,,,9:00~10:00,15:00~16:00,9:00~10:00,15:00~16:00,9:00~10:00,,,,なし,,喜多見８－１９－１５ 森田ビル2階
荒川生協診療所荒川4-54-5,荒川生協診療所,東京都荒川区荒川4-54-5,116-0002,03-3802-2601,,1,1,1,,,荒川区,13118,荒川,4-54-5,,1,,1,1,,,,11:30~12:00,,,15:30~16:00,,15:30~16:00,,,,15:30~16:00,11:30~12:00,,,,,,荒川4-54-5
医療法人社団勝優会たまちホームクリニック三田3-1-4,医療法人社団勝優会たまちホームクリニック,東京都港区三田3-1-4,108-0073,03-6435-2331,,1,1,1,,,港区,13103,三田,3-1-4,,1,,1,1,,1,,10:00~13:00,16:00~19:00,10:00~13:00,16:00~19:00,10:00~13:00,16:00~19:00,10:00~13:00,16:00~19:00,10:00~13:00,16:00~19:00,,,,,,,三田3-1-4
聖路加国際病院附属クリニック 聖路加メディローカス大手町１丁目９番7号 大手町フィナンシャルシティサウスタワー2階,聖路加国際病院附属クリニック 聖路加メディローカス,東京都千代田区大手町１丁目９番7号 ,100-0004,03-3527-9520,,,1,,,,千代田区,13101,大手町,１丁目９番7号 ,大手町フィナンシャルシティサウスタワー2階,1,,1,1,1,,,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,10:00~12:00,12:00~14:00,,,英語,,大手町１丁目９番7号 大手町フィナンシャルシティサウスタワー2階
上田診療所北品川 1-11-1 寿ビル １階,上田診療所,東京都品川区北品川 ,140-0001,03-5495-7800,,,1,,,,品川区,13109,北品川 ,,1-11-1 寿ビル １階,,,1,,1,,,,13:00~15:00,,13:00~15:00,,13:00~15:00,,13:00~15:00,,13:00~15:00,,,,,,,北品川 1-11-1 寿ビル １階
"親和ハートフルクリニック平井2-24-16東京育明会ビル１F２F",親和ハートフルクリニック,"東京都江戸川区平井2-24-16東京育明会ビル１F２F",132-0035,0336847150,,1,1,1,,,江戸川区,13123,平井,"2-24-16東京育明会ビル１F２F",,1,1,,,1,1,,9:00~12:30,14:00~17:30,9:00~12:30,14:00~17:30,9:00~12:30,14:00~17:30,9:00~12:30,14:00~17:30,9:00~12:30,,9:00~12:30,14:00~16:00,,,,,"平井2-24-16東京育明会ビル１F２F"
井手小児科目黒本町６－１７－２７,井手小児科,東京都目黒区目黒本町６－１７－２７,152-0002,03-5704-3819,,,1,,,,目黒区,13110,目黒本町,６－１７－２７,,,,,,,,,,,,,,,,,,,,,,,日本語のみ,,目黒本町６－１７－２７
くじら在宅クリニック高田1-37-10ツーウッズ目白ビル2F,くじら在宅クリニック,東京都豊島区高田1-37-10ツーウッズ目白ビル2F,171-0033,03-6915-2011,,,1,,,,豊島区,13116,高田,1-37-10ツーウッズ目白ビル2F,,,,,,,,,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,,,,,,,高田1-37-10ツーウッズ目白ビル2F
エスエス内科循環器科クリニック広尾1－10－11,エスエス内科循環器科クリニック,東京都渋谷区広尾1－10－11,150-0012,03-3440-2110,,1,1,,,,渋谷区,13113,広尾,1－10－11,,1,,,,,1,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,,,,,,広尾1－10－11
のぐち内科クリニック上鷺宮4-17-14,のぐち内科クリニック,東京都中野区上鷺宮4-17-14,165-0031,03-3926-0007,,1,1,1,,,中野区,13114,上鷺宮,4-17-14,,1,,1,1,1,1,,8:00~13:00,15:00~19:00,9:00~13:00,15:00~17:00,9:00~13:00,15:00~19:00,,,9:00~13:00,15:00~19:00,8:00~13:00,,,,英語,,上鷺宮4-17-14
医療法人社団関会 関医院上鷺宮4-6-21,医療法人社団関会 関医院,東京都中野区上鷺宮4-6-21,165-0031,03-3990-2644,,,1,,,,中野区,13114,上鷺宮,4-6-21,,,,,,,,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,,,12:00~13:00,17:00~18:00,12:00~13:00,,,,無し,,上鷺宮4-6-21
羽田とうまクリニック萩中2-2-3ヨシオカビル1，2F,羽田とうまクリニック,東京都大田区萩中2-2-3ヨシオカビル1，2F,144-0047,03-5735-7810,,,1,1,,,大田区,13111,萩中,2-2-3ヨシオカビル1，2F,,1,,1,,1,,,,,,,,,,,,,,,,,,,萩中2-2-3ヨシオカビル1，2F
医療法人社団 大日会 太陽こども病院松原町1-2-1,医療法人社団 大日会 太陽こども病院,東京都昭島市松原町1-2-1,196-0003,042-544-7511,,1,1,,2,,昭島市,13207,松原町,1-2-1,,1,,1,1,1,1,,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,,1,松原町1-2-1
医療法人社団成守会 はせがわ病院東日暮里5-45-7,医療法人社団成守会 はせがわ病院,東京都荒川区東日暮里5-45-7,116-0014,03-3807-8866,,,1,,,,荒川区,13118,東日暮里,5-45-7,,1,,1,1,,1,,,15:00~16:00,,15:00~16:00,,15:00~16:00,,15:00~16:00,,15:00~16:00,,,,,,,東日暮里5-45-7
ほしなこどもクリニック西原2-34-9,ほしなこどもクリニック,東京都渋谷区西原2-34-9,151-0066,03-3465-0281,,1,1,,2,,渋谷区,13113,西原,2-34-9,,1,,1,,1,1,,9:00~12:00,16:00~17:00,9:00~12:00,16:00~17:00,9:00~12:00,16:00~17:00,9:00~12:00,,9:00~12:00,16:00~17:00,9:00~12:00,,,,,,西原2-34-9
長田医院東向島1-26-9,長田医院,東京都墨田区東向島1-26-9,131-0032,03-3611-7525,,,1,,,,墨田区,13107,東向島,1-26-9,,,,1,1,1,1,,9:00~10:00,14:00~15:00,9:00~10:00,14:00~15:00,9:00~10:00,,9:00~10:00,14:00~15:00,9:00~10:00,14:00~15:00,9:00~10:00,,,,,,東向島1-26-9
せせらぎクリニック多摩川田園調布１-３３-３， 田園ホームズ１階,せせらぎクリニック多摩川,東京都大田区田園調布１-３３-３， ,145-0071,03-5755-5207,,,1,,1,1,大田区,13111,田園調布,１-３３-３， ,田園ホームズ１階,1,,1,1,1,1,,11:30~12:00,12:00~12:30,11:30~12:00,12:00~12:30,11:30~12:00,12:00~12:30,11:30~12:00,12:00~12:30,11:30~12:00,12:00~12:30,,,,,英語,,田園調布１-３３-３， 田園ホームズ１階
医療法人社団こじま内科高円寺南5-40-17,医療法人社団こじま内科,東京都杉並区高円寺南5-40-17,166-0003,03-3316-3987,,1,1,1,1,,杉並区,13115,高円寺南,5-40-17,,1,,,1,1,1,,11:30~12:30,17:30~18:30,11:30~12:30,,11:30~12:30,17:30~18:30,11:30~12:30,,11:30~12:30,17:30~18:30,,16:30~17:30,,,英語のみ,,高円寺南5-40-17
目黒みらい内科クリニック上大崎2-13-26 メイプルトップビル3F,目黒みらい内科クリニック,東京都品川区上大崎2-13-26 ,141-0021,03-6721-6672,,1,1,1,,1,品川区,13109,上大崎,2-13-26 ,メイプルトップビル3F,1,,1,1,,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,上大崎2-13-26 メイプルトップビル3F
医療法人社団桐医会なかやまクリニック山吹町335安井ビル２階,医療法人社団桐医会なかやまクリニック,東京都新宿区山吹町335安井ビル２階,162-0801,0332688311,,1,1,,,,新宿区,13104,山吹町,335安井ビル２階,,1,,1,1,1,,,9:00~12:30,15:00~18:00,9:00~12:30,15:00~18:00,9:00~12:30,15:00~18:00,9:00~12:30,15:00~18:00,9:00~12:30,15:00~18:00,9:00~12:00,,,,,,山吹町335安井ビル２階
医療法人財団正明会 山田記念病院石原二丁目20番1号,医療法人財団正明会 山田記念病院,東京都墨田区石原二丁目20番1号,130-0011,03-3624-1151,,1,1,1,,,墨田区,13107,石原二丁目,20番1号,,1,,1,1,1,1,1,10:00~12:00,13:00~17:00,10:00~12:00,13:00~17:00,10:00~12:00,13:00~17:00,10:00~12:00,13:00~17:00,10:00~12:00,13:00~17:00,10:00~12:00,13:00~17:00,,,,,石原二丁目20番1号
医療法人社団一雅会 野田医院向台町3-6-10,医療法人社団一雅会 野田医院,東京都西東京市向台町3-6-10,188-0013,042-467-1810,,1,1,,,,西東京市,13229,向台町,3-6-10,,1,,1,,1,,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,,,12:00~13:00,17:00~18:00,12:00~13:00,,,,,,向台町3-6-10
医療法人社団宮﨑会 木挽町医院銀座4丁目11番４号,医療法人社団宮﨑会 木挽町医院,東京都中央区銀座4丁目11番４号,104-0061,03-3541-3800,,1,1,,,,中央区,13102,銀座,4丁目11番４号,,1,,1,1,,1,,,16:00~17:00,,16:00~17:00,,16:00~17:00,,16:00~17:00,,16:00~17:00,9:00~12:00,,,,英語,1,銀座4丁目11番４号
